idTicket,Área,id_soporte,fecha_hora_apertura,fecha_hora_asignación,fecha_hora_cierre
21,Alumnos,S2,2024-09-01 11:57:38,2024-09-01 11:57:38.000000,2024-09-01 12:16:24.001084
22,Alumnos,S3,2024-09-01 12:32:52,2024-09-01 12:32:52.000000,2024-09-01 12:56:13.170737
23,Gestión Académica,S5,2024-09-01 12:35:26,2024-09-01 12:35:26.000000,2024-09-01 12:49:44.187309
24,Gestión Académica,S4,2024-09-01 12:53:20,2024-09-01 12:53:20.000000,2024-09-01 13:09:46.284309
25,Gestión Académica,S6,2024-09-01 12:55:34,2024-09-01 12:55:34.000000,2024-09-01 13:03:01.114813
26,Gestión Académica,S5,2024-09-01 12:59:47,2024-09-01 12:59:47.000000,2024-09-01 13:14:06.060462
27,Gestión Académica,S6,2024-09-01 13:08:44,2024-09-01 13:08:44.000000,2024-09-01 13:12:40.720968
28,Gestión Académica,S4,2024-09-01 13:18:06,2024-09-01 13:18:06.000000,2024-09-01 13:28:04.842940
29,Gestión Académica,S6,2024-09-01 13:27:43,2024-09-01 13:27:43.000000,2024-09-01 13:45:13.946228
30,Gestión Académica,S5,2024-09-01 13:30:19,2024-09-01 13:30:19.000000,2024-09-01 13:37:02.551928
31,Gestión Académica,S4,2024-09-01 13:41:14,2024-09-01 13:41:14.000000,2024-09-01 13:55:10.488086
32,Gestión Académica,S5,2024-09-01 13:51:08,2024-09-01 13:51:08.000000,2024-09-01 14:07:28.588987
33,Gestión Académica,S6,2024-09-01 13:57:36,2024-09-01 13:57:36.000000,2024-09-01 14:10:21.217903
34,Alumnos,S1,2024-09-01 13:59:43,2024-09-01 13:59:43.000000,2024-09-01 14:28:16.182098
35,Alumnos,S2,2024-09-01 14:08:46,2024-09-01 14:08:46.000000,2024-09-01 14:34:06.755779
36,Alumnos,S3,2024-09-01 14:23:57,2024-09-01 14:23:57.000000,2024-09-01 14:50:01.458124
37,Gestión Académica,S4,2024-09-01 14:25:55,2024-09-01 14:25:55.000000,2024-09-01 14:38:28.086546
38,Gestión Académica,S5,2024-09-01 14:32:20,2024-09-01 14:32:20.000000,2024-09-01 14:48:11.636764
39,Gestión Académica,S6,2024-09-01 14:35:18,2024-09-01 14:35:18.000000,2024-09-01 14:48:29.182171
40,Gestión Académica,S4,2024-09-01 14:44:40,2024-09-01 14:44:40.000000,2024-09-01 14:59:35.270336
41,Gestión Académica,S6,2024-09-01 15:33:23,2024-09-01 15:33:23.000000,2024-09-01 15:52:58.935883
42,Gestión Académica,S5,2024-09-01 15:36:40,2024-09-01 15:36:40.000000,2024-09-01 15:58:27.106673
43,Gestión Académica,S4,2024-09-01 15:41:45,2024-09-01 15:41:45.000000,2024-09-01 15:55:21.567236
44,Gestión Académica,S6,2024-09-01 15:51:49,2024-09-01 15:53:26.935883,2024-09-01 15:59:55.179024
45,Gestión Académica,S4,2024-09-01 15:54:57,2024-09-01 15:55:25.567236,2024-09-01 16:16:57.968227
46,Gestión Académica,S5,2024-09-01 16:02:34,2024-09-01 16:02:34.000000,2024-09-01 16:16:13.775981
47,Alumnos,S1,2024-09-01 16:05:26,2024-09-01 16:05:26.000000,2024-09-01 16:29:50.420208
48,Alumnos,S2,2024-09-01 16:13:09,2024-09-01 16:13:09.000000,2024-09-01 16:31:21.001889
49,Alumnos,S3,2024-09-01 16:14:18,2024-09-01 16:14:18.000000,2024-09-01 16:35:55.516235
50,Alumnos,S1,2024-09-01 16:17:31,2024-09-01 16:29:51.420208,2024-09-01 16:51:54.916465
51,Alumnos,S2,2024-09-01 16:18:48,2024-09-01 16:31:23.001889,2024-09-01 16:56:14.179862
52,Gestión Académica,S6,2024-09-01 16:25:36,2024-09-01 16:25:36.000000,2024-09-01 16:35:40.332508
53,Gestión Académica,S5,2024-09-01 16:34:53,2024-09-01 16:34:53.000000,2024-09-01 16:44:11.331658
54,Gestión Académica,S4,2024-09-01 16:36:24,2024-09-01 16:36:24.000000,2024-09-01 16:52:55.137642
55,Alumnos,S3,2024-09-01 16:39:21,2024-09-01 16:39:21.000000,2024-09-01 17:04:52.209096
56,Gestión Académica,S6,2024-09-01 16:43:22,2024-09-01 16:43:22.000000,2024-09-01 17:00:08.677706
57,Gestión Académica,S5,2024-09-01 16:45:09,2024-09-01 16:45:09.000000,2024-09-01 17:03:57.668822
58,Gestión Académica,S4,2024-09-01 17:05:17,2024-09-01 17:05:17.000000,2024-09-01 17:16:44.133105
59,Gestión Académica,S6,2024-09-01 17:07:34,2024-09-01 17:07:34.000000,2024-09-01 17:20:34.066030
60,Gestión Académica,S5,2024-09-01 17:16:39,2024-09-01 17:16:39.000000,2024-09-01 17:24:46.747695
61,Gestión Académica,S4,2024-09-01 17:19:35,2024-09-01 17:19:35.000000,2024-09-01 17:31:59.578876
62,Alumnos,S1,2024-09-01 17:26:30,2024-09-01 17:26:30.000000,2024-09-01 17:54:55.349763
63,Alumnos,S2,2024-09-01 17:35:03,2024-09-01 17:35:03.000000,2024-09-01 17:59:58.373819
64,Alumnos,S1,2024-09-02 09:00:00,2024-09-02 09:00:00.000000,2024-09-02 09:27:47.283935
65,Alumnos,S2,2024-09-02 09:03:21,2024-09-02 09:03:21.000000,2024-09-02 09:27:43.048644
66,Alumnos,S3,2024-09-02 09:09:08,2024-09-02 09:09:08.000000,2024-09-02 09:32:03.110807
67,Gestión Académica,S4,2024-09-02 09:22:14,2024-09-02 09:22:14.000000,2024-09-02 09:36:40.673934
68,Gestión Académica,S5,2024-09-02 09:28:11,2024-09-02 09:28:11.000000,2024-09-02 09:35:06.172264
69,Alumnos,S2,2024-09-02 09:33:08,2024-09-02 09:33:08.000000,2024-09-02 09:54:09.175150
70,Alumnos,S1,2024-09-02 09:46:00,2024-09-02 09:46:00.000000,2024-09-02 09:59:35.133249
71,Gestión Académica,S6,2024-09-02 09:56:29,2024-09-02 09:56:29.000000,2024-09-02 10:06:34.815481
72,Gestión Académica,S5,2024-09-02 10:12:37,2024-09-02 10:12:37.000000,2024-09-02 10:20:43.181803
73,Alumnos,S3,2024-09-02 10:25:57,2024-09-02 10:25:57.000000,2024-09-02 10:41:46.986628
74,Gestión Académica,S4,2024-09-02 10:36:41,2024-09-02 10:36:41.000000,2024-09-02 10:52:43.196219
75,Alumnos,S2,2024-09-02 10:39:40,2024-09-02 10:39:40.000000,2024-09-02 10:53:30.697465
76,Alumnos,S1,2024-09-02 10:58:12,2024-09-02 10:58:12.000000,2024-09-02 11:16:28.264985
77,Alumnos,S3,2024-09-02 10:59:50,2024-09-02 10:59:50.000000,2024-09-02 11:20:24.736910
78,Alumnos,S2,2024-09-02 11:10:42,2024-09-02 11:10:42.000000,2024-09-02 11:39:01.854140
79,Alumnos,S1,2024-09-02 11:14:08,2024-09-02 11:16:53.264985,2024-09-02 11:44:42.283053
80,Alumnos,S3,2024-09-02 11:16:52,2024-09-02 11:20:35.736910,2024-09-02 11:42:58.090886
81,Alumnos,S2,2024-09-02 11:22:18,2024-09-02 11:39:15.854140,2024-09-02 12:06:16.530283
82,Alumnos,S3,2024-09-02 11:26:51,2024-09-02 11:43:15.090886,2024-09-02 12:09:23.121588
83,Gestión Académica,S6,2024-09-02 11:33:41,2024-09-02 11:33:41.000000,2024-09-02 11:43:33.088901
84,Gestión Académica,S5,2024-09-02 11:35:23,2024-09-02 11:35:23.000000,2024-09-02 11:49:08.579394
85,Gestión Académica,S4,2024-09-02 11:37:08,2024-09-02 11:37:08.000000,2024-09-02 11:53:53.292608
86,Gestión Académica,S6,2024-09-02 11:39:35,2024-09-02 11:43:57.088901,2024-09-02 11:57:02.502456
87,Gestión Académica,S5,2024-09-02 11:40:57,2024-09-02 11:49:27.579394,2024-09-02 12:03:23.989538
88,Gestión Académica,S4,2024-09-02 11:45:29,2024-09-02 11:54:00.292608,2024-09-02 12:03:22.710595
89,Gestión Académica,S6,2024-09-02 11:51:32,2024-09-02 11:57:32.502456,2024-09-02 12:10:35.081526
90,Gestión Académica,S4,2024-09-02 11:56:30,2024-09-02 12:03:29.710595,2024-09-02 12:18:26.976431
91,Gestión Académica,S5,2024-09-02 11:58:53,2024-09-02 12:03:39.989538,2024-09-02 12:14:01.249128
92,Gestión Académica,S6,2024-09-02 12:04:14,2024-09-02 12:10:54.081526,2024-09-02 12:28:38.261776
93,Gestión Académica,S5,2024-09-02 12:09:29,2024-09-02 12:14:30.249128,2024-09-02 12:27:06.464397
94,Gestión Académica,S4,2024-09-02 12:14:34,2024-09-02 12:18:53.976431,2024-09-02 12:26:37.447701
95,Gestión Académica,S4,2024-09-02 12:32:27,2024-09-02 12:32:27.000000,2024-09-02 12:47:29.496814
96,Gestión Académica,S5,2024-09-02 12:39:10,2024-09-02 12:39:10.000000,2024-09-02 12:50:56.128966
97,Alumnos,S1,2024-09-02 12:44:45,2024-09-02 12:44:45.000000,2024-09-02 13:07:44.657580
98,Alumnos,S2,2024-09-02 12:53:36,2024-09-02 12:53:36.000000,2024-09-02 13:10:49.595918
99,Alumnos,S3,2024-09-02 12:59:57,2024-09-02 12:59:57.000000,2024-09-02 13:30:07.046280
100,Alumnos,S1,2024-09-02 13:02:23,2024-09-02 13:08:11.657580,2024-09-02 13:37:27.815489
101,Alumnos,S2,2024-09-02 13:07:25,2024-09-02 13:11:16.595918,2024-09-02 13:40:36.688620
102,Gestión Académica,S6,2024-09-02 13:18:25,2024-09-02 13:18:25.000000,2024-09-02 13:31:46.761103
103,Gestión Académica,S4,2024-09-02 13:19:32,2024-09-02 13:19:32.000000,2024-09-02 13:34:44.246935
104,Gestión Académica,S5,2024-09-02 13:22:01,2024-09-02 13:22:01.000000,2024-09-02 13:41:10.197921
105,Alumnos,S3,2024-09-02 13:32:29,2024-09-02 13:32:29.000000,2024-09-02 13:57:35.036270
106,Alumnos,S1,2024-09-02 13:34:13,2024-09-02 13:37:50.815489,2024-09-02 14:09:35.852816
107,Alumnos,S2,2024-09-02 13:38:21,2024-09-02 13:40:52.688620,2024-09-02 14:08:41.889065
108,Alumnos,S3,2024-09-02 13:49:54,2024-09-02 13:57:48.036270,2024-09-02 14:22:42.629842
109,Gestión Académica,S6,2024-09-02 13:51:34,2024-09-02 13:51:34.000000,2024-09-02 14:02:26.139286
110,Gestión Académica,S4,2024-09-02 13:53:50,2024-09-02 13:53:50.000000,2024-09-02 14:09:02.317243
111,Gestión Académica,S5,2024-09-02 13:57:53,2024-09-02 13:57:53.000000,2024-09-02 14:10:05.156143
112,Alumnos,S2,2024-09-02 13:59:52,2024-09-02 14:08:56.889065,2024-09-02 14:29:31.198752
113,Alumnos,S1,2024-09-02 14:06:37,2024-09-02 14:10:02.852816,2024-09-02 14:29:33.667630
114,Gestión Académica,S6,2024-09-02 14:11:14,2024-09-02 14:11:14.000000,2024-09-02 14:29:12.313381
115,Gestión Académica,S4,2024-09-02 14:17:04,2024-09-02 14:17:04.000000,2024-09-02 14:20:05.820474
116,Gestión Académica,S5,2024-09-02 14:23:27,2024-09-02 14:23:27.000000,2024-09-02 14:40:28.034993
117,Gestión Académica,S4,2024-09-02 14:30:34,2024-09-02 14:30:34.000000,2024-09-02 14:39:23.974978
118,Gestión Académica,S6,2024-09-02 14:50:23,2024-09-02 14:50:23.000000,2024-09-02 15:06:58.015768
119,Gestión Académica,S4,2024-09-02 14:54:29,2024-09-02 14:54:29.000000,2024-09-02 15:04:42.329486
120,Gestión Académica,S5,2024-09-02 15:00:34,2024-09-02 15:00:34.000000,2024-09-02 15:17:07.295063
121,Gestión Académica,S4,2024-09-02 15:46:47,2024-09-02 15:46:47.000000,2024-09-02 16:07:30.616149
122,Gestión Académica,S6,2024-09-02 15:52:45,2024-09-02 15:52:45.000000,2024-09-02 16:06:06.000657
123,Gestión Académica,S5,2024-09-02 15:54:44,2024-09-02 15:54:44.000000,2024-09-02 16:10:56.600794
124,Alumnos,S3,2024-09-02 15:57:30,2024-09-02 15:57:30.000000,2024-09-02 16:26:30.324958
125,Alumnos,S1,2024-09-02 16:17:01,2024-09-02 16:17:01.000000,2024-09-02 16:40:09.741658
126,Alumnos,S2,2024-09-02 16:35:49,2024-09-02 16:35:49.000000,2024-09-02 16:57:49.880997
127,Alumnos,S3,2024-09-02 16:44:07,2024-09-02 16:44:07.000000,2024-09-02 17:01:02.837629
128,Alumnos,S1,2024-09-02 16:47:29,2024-09-02 16:47:29.000000,2024-09-02 17:13:39.025111
129,Alumnos,S2,2024-09-02 16:57:54,2024-09-02 16:57:59.880997,2024-09-02 17:18:51.030654
130,Alumnos,S3,2024-09-02 17:01:47,2024-09-02 17:01:47.000000,2024-09-02 17:24:45.834349
131,Alumnos,S1,2024-09-02 17:04:37,2024-09-02 17:13:57.025111,2024-09-02 17:40:55.296807
132,Gestión Académica,S6,2024-09-02 17:11:02,2024-09-02 17:11:02.000000,2024-09-02 17:27:23.493785
133,Gestión Académica,S4,2024-09-02 17:21:54,2024-09-02 17:21:54.000000,2024-09-02 17:38:55.217305
134,Gestión Académica,S5,2024-09-02 17:39:03,2024-09-02 17:39:03.000000,2024-09-02 17:51:33.376026
135,Gestión Académica,S6,2024-09-02 17:40:22,2024-09-02 17:40:22.000000,2024-09-02 17:57:27.243166
136,Alumnos,S1,2024-09-03 09:00:00,2024-09-03 09:00:00.000000,2024-09-03 09:23:49.885467
137,Alumnos,S2,2024-09-03 09:04:32,2024-09-03 09:04:32.000000,2024-09-03 09:30:18.261896
138,Alumnos,S3,2024-09-03 09:34:47,2024-09-03 09:34:47.000000,2024-09-03 09:52:58.367595
139,Alumnos,S1,2024-09-03 09:36:16,2024-09-03 09:36:16.000000,2024-09-03 09:52:30.595684
140,Gestión Académica,S4,2024-09-03 09:37:46,2024-09-03 09:37:46.000000,2024-09-03 09:47:46.506166
141,Gestión Académica,S5,2024-09-03 09:38:55,2024-09-03 09:38:55.000000,2024-09-03 09:49:01.946564
142,Alumnos,S2,2024-09-03 09:42:27,2024-09-03 09:42:27.000000,2024-09-03 10:05:39.694552
143,Gestión Académica,S6,2024-09-03 09:49:46,2024-09-03 09:49:46.000000,2024-09-03 09:55:21.083388
144,Gestión Académica,S4,2024-09-03 09:51:24,2024-09-03 09:51:24.000000,2024-09-03 10:13:07.795165
145,Gestión Académica,S5,2024-09-03 09:58:20,2024-09-03 09:58:20.000000,2024-09-03 10:12:13.432433
146,Gestión Académica,S6,2024-09-03 10:03:07,2024-09-03 10:03:07.000000,2024-09-03 10:14:43.013525
147,Gestión Académica,S5,2024-09-03 10:15:12,2024-09-03 10:15:12.000000,2024-09-03 10:29:09.727575
148,Gestión Académica,S4,2024-09-03 10:16:51,2024-09-03 10:16:51.000000,2024-09-03 10:27:21.495169
149,Gestión Académica,S6,2024-09-03 11:05:05,2024-09-03 11:05:05.000000,2024-09-03 11:13:50.436800
150,Gestión Académica,S4,2024-09-03 12:00:06,2024-09-03 12:00:06.000000,2024-09-03 12:15:52.932400
151,Alumnos,S1,2024-09-03 12:56:31,2024-09-03 12:56:31.000000,2024-09-03 13:24:20.840532
152,Gestión Académica,S5,2024-09-03 12:58:48,2024-09-03 12:58:48.000000,2024-09-03 13:11:59.088413
153,Gestión Académica,S6,2024-09-03 13:03:40,2024-09-03 13:03:40.000000,2024-09-03 13:18:04.384469
154,Gestión Académica,S4,2024-09-03 13:12:02,2024-09-03 13:12:02.000000,2024-09-03 13:28:52.201884
155,Gestión Académica,S5,2024-09-03 13:20:27,2024-09-03 13:20:27.000000,2024-09-03 13:35:12.895782
156,Gestión Académica,S6,2024-09-03 13:35:56,2024-09-03 13:35:56.000000,2024-09-03 13:50:00.462420
157,Gestión Académica,S4,2024-09-03 13:42:30,2024-09-03 13:42:30.000000,2024-09-03 13:53:53.863195
158,Gestión Académica,S5,2024-09-03 13:53:09,2024-09-03 13:53:09.000000,2024-09-03 14:06:10.765918
159,Gestión Académica,S6,2024-09-03 14:18:21,2024-09-03 14:18:21.000000,2024-09-03 14:32:14.817853
160,Gestión Académica,S4,2024-09-03 14:31:57,2024-09-03 14:31:57.000000,2024-09-03 14:46:04.549877
161,Gestión Académica,S5,2024-09-03 14:33:47,2024-09-03 14:33:47.000000,2024-09-03 14:48:24.222285
162,Gestión Académica,S6,2024-09-03 14:36:17,2024-09-03 14:36:17.000000,2024-09-03 14:45:18.793067
163,Gestión Académica,S6,2024-09-03 14:38:52,2024-09-03 14:45:38.793067,2024-09-03 15:00:19.799266
164,Gestión Académica,S4,2024-09-03 14:40:11,2024-09-03 14:46:08.549877,2024-09-03 15:01:14.487661
165,Gestión Académica,S5,2024-09-03 14:43:17,2024-09-03 14:48:36.222285,2024-09-03 15:00:32.475883
166,Gestión Académica,S5,2024-09-03 14:54:14,2024-09-03 15:00:42.475883,2024-09-03 15:07:56.189465
167,Gestión Académica,S6,2024-09-03 14:56:39,2024-09-03 15:00:48.799266,2024-09-03 15:09:27.884868
168,Gestión Académica,S4,2024-09-03 15:01:24,2024-09-03 15:01:30.487661,2024-09-03 15:16:23.693172
169,Alumnos,S3,2024-09-03 15:02:41,2024-09-03 15:02:41.000000,2024-09-03 15:18:12.451429
170,Alumnos,S2,2024-09-03 15:10:38,2024-09-03 15:10:38.000000,2024-09-03 15:34:31.641749
171,Alumnos,S1,2024-09-03 15:21:17,2024-09-03 15:21:17.000000,2024-09-03 15:43:41.869457
172,Alumnos,S3,2024-09-03 15:25:45,2024-09-03 15:25:45.000000,2024-09-03 15:42:49.113307
173,Alumnos,S2,2024-09-03 15:35:24,2024-09-03 15:35:24.000000,2024-09-03 15:53:54.771055
174,Alumnos,S3,2024-09-03 15:50:30,2024-09-03 15:50:30.000000,2024-09-03 16:09:49.534836
175,Alumnos,S1,2024-09-03 15:55:20,2024-09-03 15:55:20.000000,2024-09-03 16:21:33.794807
176,Alumnos,S2,2024-09-03 15:58:48,2024-09-03 15:58:48.000000,2024-09-03 16:16:00.794917
177,Alumnos,S3,2024-09-03 16:10:22,2024-09-03 16:10:22.000000,2024-09-03 16:32:19.382365
178,Alumnos,S2,2024-09-03 16:17:31,2024-09-03 16:17:31.000000,2024-09-03 16:31:27.014366
179,Gestión Académica,S5,2024-09-03 16:19:58,2024-09-03 16:19:58.000000,2024-09-03 16:27:41.732855
180,Alumnos,S1,2024-09-03 16:21:41,2024-09-03 16:21:59.794807,2024-09-03 16:30:23.494628
181,Gestión Académica,S6,2024-09-03 16:26:34,2024-09-03 16:26:34.000000,2024-09-03 16:34:11.148824
182,Alumnos,S1,2024-09-03 16:37:03,2024-09-03 16:37:03.000000,2024-09-03 17:12:32.134991
183,Alumnos,S2,2024-09-03 16:47:43,2024-09-03 16:47:43.000000,2024-09-03 17:07:16.813780
184,Gestión Académica,S4,2024-09-03 16:48:49,2024-09-03 16:48:49.000000,2024-09-03 16:54:56.056925
185,Gestión Académica,S5,2024-09-03 17:00:59,2024-09-03 17:00:59.000000,2024-09-03 17:12:21.534607
186,Gestión Académica,S6,2024-09-03 17:09:15,2024-09-03 17:09:15.000000,2024-09-03 17:22:11.842476
187,Gestión Académica,S4,2024-09-03 17:13:08,2024-09-03 17:13:08.000000,2024-09-03 17:21:42.283984
188,Gestión Académica,S5,2024-09-03 17:40:43,2024-09-03 17:40:43.000000,2024-09-03 17:56:14.140222
189,Gestión Académica,S4,2024-09-03 17:48:26,2024-09-03 17:48:26.000000,2024-09-03 17:54:21.055858
190,Gestión Académica,S4,2024-09-04 09:00:00,2024-09-04 09:00:00.000000,2024-09-04 09:08:15.375346
191,Gestión Académica,S5,2024-09-04 09:01:27,2024-09-04 09:01:27.000000,2024-09-04 09:06:54.229290
192,Gestión Académica,S6,2024-09-04 09:07:04,2024-09-04 09:07:04.000000,2024-09-04 09:18:44.062159
193,Gestión Académica,S5,2024-09-04 09:08:37,2024-09-04 09:08:37.000000,2024-09-04 09:22:43.243676
194,Gestión Académica,S4,2024-09-04 09:10:51,2024-09-04 09:10:51.000000,2024-09-04 09:30:07.810148
195,Gestión Académica,S6,2024-09-04 09:15:21,2024-09-04 09:19:03.062159,2024-09-04 09:31:20.878626
196,Gestión Académica,S5,2024-09-04 09:17:03,2024-09-04 09:23:02.243676,2024-09-04 09:35:59.186129
197,Gestión Académica,S4,2024-09-04 09:35:06,2024-09-04 09:35:06.000000,2024-09-04 09:49:15.571359
198,Gestión Académica,S6,2024-09-04 09:37:44,2024-09-04 09:37:44.000000,2024-09-04 10:01:13.064504
199,Gestión Académica,S5,2024-09-04 09:40:40,2024-09-04 09:40:40.000000,2024-09-04 09:50:59.743376
200,Gestión Académica,S4,2024-09-04 09:45:54,2024-09-04 09:49:22.571359,2024-09-04 10:04:00.132755
201,Gestión Académica,S5,2024-09-04 09:50:47,2024-09-04 09:51:16.743376,2024-09-04 10:06:36.056957
202,Gestión Académica,S6,2024-09-04 10:01:33,2024-09-04 10:01:33.064504,2024-09-04 10:16:06.687554
203,Gestión Académica,S4,2024-09-04 10:22:21,2024-09-04 10:22:21.000000,2024-09-04 10:37:45.246622
204,Gestión Académica,S5,2024-09-04 10:31:35,2024-09-04 10:31:35.000000,2024-09-04 10:45:33.501769
205,Gestión Académica,S6,2024-09-04 10:34:26,2024-09-04 10:34:26.000000,2024-09-04 10:48:45.592737
206,Gestión Académica,S4,2024-09-04 10:36:29,2024-09-04 10:37:54.246622,2024-09-04 10:45:07.886529
207,Alumnos,S1,2024-09-04 10:41:14,2024-09-04 10:41:14.000000,2024-09-04 10:59:32.697864
208,Alumnos,S2,2024-09-04 10:43:47,2024-09-04 10:43:47.000000,2024-09-04 11:13:58.839630
209,Alumnos,S3,2024-09-04 10:48:20,2024-09-04 10:48:20.000000,2024-09-04 11:08:51.513882
210,Alumnos,S1,2024-09-04 10:55:13,2024-09-04 10:59:56.697864,2024-09-04 11:17:27.457671
211,Alumnos,S3,2024-09-04 11:07:09,2024-09-04 11:09:11.513882,2024-09-04 11:36:53.478431
212,Alumnos,S2,2024-09-04 11:11:28,2024-09-04 11:14:25.839630,2024-09-04 11:34:02.211426
213,Gestión Académica,S4,2024-09-04 11:16:52,2024-09-04 11:16:52.000000,2024-09-04 11:25:06.691009
214,Gestión Académica,S5,2024-09-04 11:19:23,2024-09-04 11:19:23.000000,2024-09-04 11:35:18.616074
215,Gestión Académica,S6,2024-09-04 11:22:21,2024-09-04 11:22:21.000000,2024-09-04 11:34:22.523326
216,Gestión Académica,S4,2024-09-04 11:31:33,2024-09-04 11:31:33.000000,2024-09-04 11:46:02.557590
217,Alumnos,S1,2024-09-04 12:04:20,2024-09-04 12:04:20.000000,2024-09-04 12:28:13.415965
218,Gestión Académica,S6,2024-09-04 12:06:31,2024-09-04 12:06:31.000000,2024-09-04 12:28:25.686884
219,Alumnos,S2,2024-09-04 12:07:42,2024-09-04 12:07:42.000000,2024-09-04 12:35:38.866433
220,Alumnos,S3,2024-09-04 12:14:22,2024-09-04 12:14:22.000000,2024-09-04 12:41:15.702781
221,Alumnos,S1,2024-09-04 12:19:55,2024-09-04 12:28:19.415965,2024-09-04 12:59:08.948137
222,Alumnos,S2,2024-09-04 12:26:49,2024-09-04 12:35:55.866433,2024-09-04 13:00:21.361033
223,Alumnos,S3,2024-09-04 12:29:01,2024-09-04 12:41:42.702781,2024-09-04 13:11:06.213267
224,Alumnos,S1,2024-09-04 12:39:01,2024-09-04 12:59:29.948137,2024-09-04 13:22:04.405870
225,Alumnos,S2,2024-09-04 12:41:47,2024-09-04 13:00:50.361033,2024-09-04 13:17:26.163885
226,Alumnos,S3,2024-09-04 12:43:23,2024-09-04 13:11:10.213267,2024-09-04 13:38:28.275924
227,Alumnos,S2,2024-09-04 12:47:47,2024-09-04 13:17:50.163885,2024-09-04 13:39:02.608252
228,Alumnos,S1,2024-09-04 12:51:12,2024-09-04 13:22:09.405870,2024-09-04 13:42:16.307912
229,Alumnos,S3,2024-09-04 13:06:47,2024-09-04 13:38:38.275924,2024-09-04 13:57:25.731397
230,Gestión Académica,S5,2024-09-04 13:10:51,2024-09-04 13:10:51.000000,2024-09-04 13:18:50.865657
231,Gestión Académica,S4,2024-09-04 13:17:21,2024-09-04 13:17:21.000000,2024-09-04 13:44:16.369103
232,Gestión Académica,S6,2024-09-04 13:29:08,2024-09-04 13:29:08.000000,2024-09-04 13:42:37.742564
233,Gestión Académica,S5,2024-09-04 13:33:17,2024-09-04 13:33:17.000000,2024-09-04 13:49:56.526907
234,Gestión Académica,S6,2024-09-04 13:35:54,2024-09-04 13:42:53.742564,2024-09-04 13:56:35.581150
235,Gestión Académica,S4,2024-09-04 13:41:19,2024-09-04 13:44:19.369103,2024-09-04 13:52:21.983253
236,Gestión Académica,S5,2024-09-04 13:56:28,2024-09-04 13:56:28.000000,2024-09-04 14:13:33.962287
237,Gestión Académica,S4,2024-09-04 13:59:24,2024-09-04 13:59:24.000000,2024-09-04 14:10:04.106006
238,Gestión Académica,S6,2024-09-04 14:08:51,2024-09-04 14:08:51.000000,2024-09-04 14:21:35.523708
239,Alumnos,S2,2024-09-04 14:20:48,2024-09-04 14:20:48.000000,2024-09-04 14:44:19.697163
240,Alumnos,S1,2024-09-04 14:29:29,2024-09-04 14:29:29.000000,2024-09-04 14:50:05.470726
241,Gestión Académica,S4,2024-09-04 14:34:17,2024-09-04 14:34:17.000000,2024-09-04 14:48:16.096356
242,Alumnos,S3,2024-09-04 14:48:43,2024-09-04 14:48:43.000000,2024-09-04 15:08:37.382216
243,Alumnos,S2,2024-09-04 14:50:58,2024-09-04 14:50:58.000000,2024-09-04 15:14:31.211094
